type,rd_percentage,pause,bandwidth_mean,bandwidth_std,bandwidth_min,bandwidth_max,rd_mapped_mean,latency_mean,latency_std,latency_min,latency_max,bandwidth_smooth,latency_smooth
DDR5-4800,100,0,33.5530651375421,0.00026916299327183125,33.55287481056431,33.553255464519886,0.9996321752023715,480.2724550108334,0.8466639266883182,479.76746188550004,481.24991796050006,33.45194913343412,482.46654427362034
DDR5-4800,100,5,33.55782349148148,0.0004675698414591485,33.557492869675905,33.55815411328705,0.9996368442288648,479.8021124213333,0.6133987857763237,479.2739558935,480.4749033985,33.58723345029704,482.583331014935
DDR5-4800,100,10,33.63981394807763,0.0013709681948868922,33.638844527170235,33.640783368985026,0.9996322340318426,464.02946911133336,0.8755899681275034,463.3879625835,465.02698660550004,33.73711146769041,458.41395086157956
DDR5-4800,100,15,33.727796841376225,0.0004078285269985756,33.72750846305922,33.72808521969323,0.9996297074856286,423.33447412833334,2.7450048338316027,421.42348074349997,426.479977613,33.86526586725341,416.48699913359576
DDR5-4800,100,20,33.822995493510504,0.001919939963877019,33.821637890942576,33.82435309607843,0.9996305254312718,369.65296470616664,2.782218890146738,366.52993470449996,371.86697848800003,33.93537933062523,363.3310711510253
DDR5-4800,100,25,34.02603569815017,0.014115942382739428,34.016054219568495,34.036017176731846,0.9996388659115114,294.7768050808333,3.045520828668141,291.430990366,297.38744376349996,33.91113453944518,305.4747622339108
DDR5-4800,100,30,34.039587749245655,0.006268548350261864,34.03515521619899,34.044020282292315,0.9995576868846168,226.6076323545,1.9033710835899764,225.4994875945,228.8054300385,33.67058564472325,254.29859150756607
DDR5-4800,100,35,33.9960648312221,0.0023965571491434993,33.994370209410434,33.99775945303376,0.9996277952110006,216.45565129016668,1.9525463482826193,215.24149113,218.70796648150002,33.58673076960395,213.717652960292
DDR5-4800,100,40,32.180008672663185,0.0011669530011968864,32.17918351228271,32.18083383304366,0.9996174713316318,171.96047843666665,0.11474300591243114,171.84149429849998,172.0704486055,32.9997959693727,184.32168054813803
DDR5-4800,100,45,31.877568152812067,0.029176836137642756,31.856937014125574,31.898199291498564,0.9995924389530345,168.66482249183332,0.5635471794049105,168.17049733399998,169.278478457,32.02016034062969,166.07271556958233
