type,rd_percentage,pause,bandwidth_mean,bandwidth_std,bandwidth_min,bandwidth_max,rd_mapped_mean,latency_mean,latency_std,latency_min,latency_max,bandwidth_smooth,latency_smooth
DDR5-4800,100,0,32.76316982795777,0.0002629880923807534,32.762983867294274,32.76335578862126,0.9996494252481056,701.042243739,0.01048097995554673,701.034832567,701.0496549110001,32.762969684331715,698.0086054358356
DDR5-4800,100,5,32.743081434138716,0.00011228298503227541,32.74300203807859,32.743160830198846,0.9996490133389193,679.9597606995001,0.07090608354214017,679.909622527,680.009898872,32.740490149290736,681.131076462264
DDR5-4800,100,10,32.71369629590983,0.000784437029508773,32.71314161516685,32.71425097665281,0.9996484474550477,657.82471771375,0.007207519268033737,657.8196212280001,657.8298141995,32.71920195796125,661.1303432803678
DDR5-4800,100,15,32.70119917161759,0.006485013924030597,32.69661357429582,32.70578476893936,0.9996463623758884,636.87488543875,0.07789779877044205,636.819803377,636.9299675005001,32.69913891382005,638.8279880051805
DDR5-4800,100,20,32.678259142378096,0.006250004159957759,32.67383972205414,32.682678562702044,0.9996495316428504,609.69484075525,0.0778694741940028,609.639778722,609.7499027885,32.680334820343894,615.0455927517355
DDR5-4800,100,25,32.665096430319906,0.007025876821132185,32.6601283851759,32.67006447546391,0.9996488618790849,594.6097516155,0.11322644348806543,594.5296884295,594.6898148015,32.66282348100965,590.6047396350687
DDR5-4800,100,30,32.648985352275034,0.003618756290669541,32.646426505162445,32.65154419938763,0.9996262528033426,577.0149234045,0.07774864060525742,576.9599468135,577.0698999955,32.64553929562779,566.067260064344
DDR5-4800,100,35,32.63573462257243,0.004367254903616335,32.63264650701491,32.638822738129946,0.9996464867339694,555.0748071085,0.10590998487427368,554.99991744,555.1496967769999,32.6355666503851,551.5991774843844
DDR5-4800,100,40,32.60954915541656,0.002277893886009965,32.60793844120293,32.61115986963018,0.9996439902255163,500.73479566175,0.021115009991740936,500.719865095,500.7497262285,32.62185100164653,528.9989260370942
DDR5-4800,100,45,32.60829363859983,8.588359525729481e-05,32.608232909727235,32.60835436747244,0.9996470409139133,497.84083438725,0.005055179564222905,497.83725983550005,497.844408939,32.60691524171904,501.8385758007764
DDR5-4800,100,50,32.5969538889411,0.001834262280377303,32.595656869644166,32.59825090823803,0.9996233862217832,494.9524093115,0.033936906897896635,494.9284122945,494.9764063285,32.59029314556295,472.04595559309513
DDR5-4800,100,55,32.60040342231171,0.005349896386808144,32.59662047429795,32.604186370325465,0.9996458183778487,486.904330316,0.11896668259756499,486.820208168,486.98845246400003,32.575375302589215,443.645373664254
DDR5-4800,100,60,32.545384218499805,0.005394713376439319,32.54156958008876,32.54919885691084,0.999647617078326,380.9022120735,0.08663922851533233,380.8409488875,380.96347525949994,32.56231663904622,418.82948632557327
DDR5-4800,100,65,32.53876639704446,0.0013031782324008792,32.53784491087924,32.53968788320969,0.9996248148830175,378.05596088,0.06572479466544037,378.00948643199996,378.102435328,32.61847814693785,413.22211399639497
DDR5-4800,100,70,32.53836037210489,0.0026870242237386635,32.53646035905508,32.54026038515471,0.9996249667406847,375.18616800775,0.02725770670397862,375.1668938985,375.20544211699996,32.61861838760678,388.5063321333425
DDR5-4800,100,80,32.54263270769843,0.006812981096620929,32.537815202564914,32.54745021283195,0.9996445929736849,369.8947056705,0.039975971454509145,369.86643839,369.92297295099996,32.54545810565288,355.47184140806206
DDR5-4800,100,90,32.54036932669411,0.0057324499967828235,32.536315872428574,32.54442278095965,0.9996446852169276,364.22216499574995,0.08028210909632166,364.165396972,364.27893301949996,32.405287312704566,320.89807964318555
DDR5-4800,100,100,32.539885702702946,0.004799685658429128,32.53649181242631,32.54327959297959,0.9996448135069134,358.359913581,0.058031454501337676,358.318879146,358.400948016,32.26927006619674,290.8569094107378
DDR5-4800,100,120,31.748866356856542,0.0002529583287467795,31.748687488306928,31.749045225406157,0.9996372802542799,180.23017725474998,0.039204225567576065,180.20245568099998,180.25789882849998,31.98767433996039,249.56326219392588
DDR5-4800,100,140,31.435217693724617,0.00032428229995831335,31.4349883915113,31.435446995937937,0.9996329802351045,175.2719568925,0.006366454289169833,175.2674551295,175.2764586555,31.628416586051074,210.34131621388087
DDR5-4800,100,160,31.197509683331578,0.005177990588159504,31.19384829107377,31.201171075589386,0.9996070210392544,171.59247585625002,0.01839275989997928,171.579470211,171.6054815015,31.155976177627068,177.4214761828639
DDR5-4800,100,180,30.886156266797762,0.003921873810434676,30.883383083231447,30.88892945036408,0.999628815157273,167.720473331,0.026164474719012995,167.7019722535,167.7389744085,30.579652003900108,154.80712203356424
DDR5-4800,100,200,29.74636663351233,0.00080117011896065,29.74580012068833,29.746933146336332,0.9996143885689666,159.01897890725002,0.0007115619074477938,159.018475757,159.0194820575,29.914982721912658,146.50387061489863
DDR5-4800,100,220,29.299800515104078,0.0008827487855796242,29.29917631745171,29.300424712756445,0.9995980390066483,156.3064788795,0.004243046566400211,156.3034785925,156.30947916649998,29.26567652538102,156.64060430597024
DDR5-4800,100,260,28.301484734875203,0.0011579632287786492,28.30066593122377,28.302303538526637,0.9995927366817111,151.86522250924997,0.004609644309359024,151.8619629985,151.86848202,28.479410145869767,152.5140247169143
DDR5-4800,100,300,27.383865924843555,0.0009382732026587774,27.38320246549935,27.38452938418776,0.9995533339640722,148.64920373274998,0.0046281818207008305,148.645931114,148.65247635149998,27.425123079942768,148.327286908215
DDR5-4800,100,340,26.396527278308255,0.0013966930324143957,26.3955396671938,26.39751488942271,0.9995593721022422,145.23396522374998,0.0007106490326207484,145.233462719,145.2344677285,26.27380881230591,144.5975490574032
DDR5-4800,100,380,25.4128434403975,0.00021774155392808022,25.41268947386817,25.412997406926827,0.9995154101393362,142.22570174325,0.005280815923910044,142.2219676425,142.229435844,25.027365213159246,141.4386353182394
DDR5-4800,100,450,23.671362508224213,3.1063983389153356e-05,23.671340542670908,23.67138447377752,0.9995113283180251,137.9387212075,0.003894679096940491,137.9359672535,137.9414751615,23.557871978573196,137.9645862569935
DDR5-4800,100,550,21.548912487876024,0.00015948072454265204,21.548799717974234,21.549025257777817,0.9994648563737009,133.63446424850002,0.01060650413706981,133.6269643175,133.6419641795,22.00909292888118,134.8343508699131
DDR5-4800,100,600,20.57714056892297,3.960774038247987e-05,20.57711256202116,20.577168575824786,0.9994410730229937,132.03970537700002,0.0017311126587578152,132.0384812955,132.04092945850002,20.651838209957557,132.11683904292238
DDR5-4800,100,700,18.81195291924088,0.002353182173044044,18.810288968168955,18.81361687031281,0.9993863291337723,129.5119764445,0.004233591841653078,129.50898284299998,129.514970046,19.110690494315005,129.62304561943344
DDR5-4800,100,800,17.218442715729452,4.935849163292024e-05,17.218407814005307,17.218477617453594,0.9993303071042654,127.3469816335,0.0014124146827203493,127.3459829055,127.34798036149999,17.436270753733638,127.29985014705348
DDR5-4800,100,900,15.941592264150884,0.0006543378486887501,15.941129577420888,15.942054950880879,0.9992792886124924,125.5234562055,0.0013897660525341235,125.5224734925,125.52443891850001,15.613696172000276,125.18797977613214
DDR5-4800,100,1000,14.8464418113747,0.0002338413292837001,14.84627646058504,14.846607162164357,0.9992238816346268,124.21072260575,0.006714073993218174,124.2059750385,124.21547017299999,13.655592180484067,123.27318699484951
DDR5-4800,100,1500,10.788858131275525,1.0497569850220028e-05,10.7888507083727,10.788865554178352,0.9989264826298556,120.472726367,0.005292865377008227,120.468983746,120.476468988,11.144337000455698,120.95350311211931
DDR5-4800,100,2000,8.549309270564077,0.00025692547808441073,8.549127596816264,8.549490944311891,0.9986628581699881,118.30822738200001,0.0024814109363475332,118.30647275950001,118.30998200450001,8.500905221102327,118.56456729870905
